date;start;end;price_PLN_kWh
2025-11-12;08:00;08:15;0,914
2025-11-12;08:15;08:30;0,847
2025-11-12;08:30;08:45;0,818
2025-11-12;08:45;09:00;0,782
2025-11-12;09:00;09:15;0,651
2025-11-12;09:15;09:30;0,638
2025-11-12;09:30;09:45;0,599
2025-11-12;09:45;10:00;0,578
2025-11-12;10:00;10:15;0,540
2025-11-12;10:15;10:30;0,530
2025-11-12;10:30;10:45;0,526
2025-11-12;10:45;11:00;0,515
2025-11-12;11:00;11:15;0,524
2025-11-12;11:15;11:30;0,518
2025-11-12;11:30;11:45;0,518
2025-11-12;11:45;12:00;0,513
2025-11-12;12:00;12:15;0,520
2025-11-12;12:15;12:30;0,526
2025-11-12;12:30;12:45;0,528
2025-11-12;12:45;13:00;0,526
2025-11-12;13:00;13:15;0,535
2025-11-12;13:15;13:30;0,536
2025-11-12;13:30;13:45;0,536
2025-11-12;13:45;14:00;0,546
2025-11-12;14:00;14:15;0,582
2025-11-12;14:15;14:30;0,609
2025-11-12;14:30;14:45;0,624
2025-11-12;14:45;15:00;0,648
2025-11-12;15:00;15:15;0,689
2025-11-12;15:15;15:30;0,727
2025-11-12;15:30;15:45;0,862
2025-11-12;15:45;16:00;0,895
2025-11-12;16:00;16:15;0,755
2025-11-12;16:15;16:30;0,804
2025-11-12;16:30;16:45;0,852
2025-11-12;16:45;17:00;0,926
2025-11-12;17:00;17:15;0,673
2025-11-12;17:15;17:30;0,662
2025-11-12;17:30;17:45;0,637
2025-11-12;17:45;18:00;0,627
2025-11-12;18:00;18:15;0,614
2025-11-12;18:15;18:30;0,571
2025-11-12;18:30;18:45;0,571
2025-11-12;18:45;19:00;0,568
2025-11-12;19:00;19:15;0,584
2025-11-12;19:15;19:30;0,568
2025-11-12;19:30;19:45;0,555
2025-11-12;19:45;20:00;0,551
2025-11-12;20:00;20:15;0,553
2025-11-12;20:15;20:30;0,538
2025-11-12;20:30;20:45;0,533
2025-11-12;20:45;21:00;0,525
2025-11-12;21:00;21:15;0,492
2025-11-12;21:15;21:30;0,462
2025-11-12;21:30;21:45;0,480
2025-11-12;21:45;22:00;0,474
2025-11-12;22:00;22:15;0,502
2025-11-12;22:15;22:30;0,497
2025-11-12;22:30;22:45;0,492
2025-11-12;22:45;23:00;0,434
2025-11-12;23:00;23:15;0,412
2025-11-12;23:15;23:30;0,380
2025-11-12;23:30;23:45;0,351
2025-11-12;23:45;00:00;0,319
