date;hour;hour_time;r_observed;r_source;forecast_cloud_cover_pct;forecast_cloud_class_pct;actual_pv_Wh;radiation;r_clear_candidate_flag;reference_r_at_observation;deviation_vs_reference_pct;source_file;first_seen_at;last_updated_at
2026-05-28;06;06:00;4.4118;calculated_actual_pv_Wh_div_radiation;0.0;0;300;68;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;07;07:00;1.4706;calculated_actual_pv_Wh_div_radiation;0.0;0;300;204;True;1.0000;47.1;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;08;08:00;1.1019;calculated_actual_pv_Wh_div_radiation;0.0;0;400;363;True;1.8000;-38.8;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;09;09:00;1.5267;calculated_actual_pv_Wh_div_radiation;0.0;0;800;524;True;2.7000;-43.5;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;10;10:00;2.5335;calculated_actual_pv_Wh_div_radiation;0.0;0;1700;671;True;3.7000;-31.5;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;11;11:00;3.4221;calculated_actual_pv_Wh_div_radiation;0.0;0;2700;789;True;4.5000;-24.0;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;12;12:00;3.2110;calculated_actual_pv_Wh_div_radiation;0.0;0;2800;872;True;5.2000;-38.2;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;13;13:00;2.6696;calculated_actual_pv_Wh_div_radiation;8.0;10;2400;899;True;5.9000;-54.8;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;21;21:00;0.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;0;7;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-29;06;06:00;2.8986;calculated_actual_pv_Wh_div_radiation;10.0;10;200;69;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-29;13;13:00;5.2809;calculated_actual_pv_Wh_div_radiation;0.0;0;4700;890;True;5.9000;-10.5;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-29;20;20:00;0.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;0;95;False;2.6000;-100.0;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-31;14;14:00;6.6667;calculated_actual_pv_Wh_div_radiation;0.0;0;1200;180;True;6.5000;2.6;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
